variant,accuracy,macro_f1,positive_precision,positive_recall,positive_f1,prediction_flip_rate_raw,retained_token_pct,retained_char_pct,mean_output_tokens,median_output_tokens,changed_row_pct,placeholder_only_count,unique_3gram_retention_pct,unique_5gram_retention_pct,direct_pii_gold_total,direct_pii_residual_count,direct_pii_residual_rate,direct_pii_removed_recall,quasi_identifier_gold_total,quasi_identifier_residual_count,quasi_identifier_residual_rate,detected_direct_identifier_residual_count,detected_quasi_identifier_residual_count,detected_source_marker_residual_count,target_cue_preservation,harm_cue_preservation,negation_cue_preservation,quotation_cue_preservation,counterspeech_cue_preservation,target_harm_pair_preservation,stance_harm_relation_preservation,rationale_overlap,row_count
raw,0.6432,0.619817,0.684275,0.746649,0.714103,0.0,100.0,100.0,24.535,22.0,0.0,0,99.98,96.7,0,0,0.0,0.0,0,0,0.0,0,96,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000
pii_mask,0.6432,0.619817,0.684275,0.746649,0.714103,0.0,100.0,100.0,24.535,22.0,0.0,0,99.98,96.7,0,0,0.0,0.0,0,0,0.0,0,96,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000
pii_quasi_mask,0.6428,0.619391,0.683968,0.746314,0.713782,0.0012,100.0,100.0,24.535,22.0,1.64,0,99.774,96.358,0,0,0.0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,0.982229,1.0,1.0,0.994742,1.0,5000
importance_only,0.6228,0.592568,0.662522,0.75,0.703552,0.2212,14.317,15.163,8.191,5.0,100.0,0,0.336,0.005,0,0,0.0,0.0,0,0,0.0,0,0,0,0.536575,0.784436,0.13056,0.016155,0.058394,0.166461,0.053628,0.366218,5000
importance_window,0.6382,0.605427,0.669945,0.776139,0.719143,0.125,49.91,50.118,11.841,10.0,95.44,0,38.924,23.38,0,0,0.0,0.0,0,0,0.0,0,0,0,0.713633,0.875224,0.448873,0.497577,0.335766,0.44143,0.364879,0.694088,5000
icem_context,0.6424,0.611315,0.674344,0.775134,0.721235,0.1068,57.876,58.206,13.439,12.0,89.56,0,50.476,38.263,0,0,0.0,0.0,0,0,0.0,0,0,0,0.935162,0.940072,0.872906,0.901454,0.773723,0.876695,0.824395,0.763557,5000
