variant,accuracy,macro_f1,positive_precision,positive_recall,positive_f1,prediction_flip_rate_raw,retained_token_pct,retained_char_pct,mean_output_tokens,median_output_tokens,changed_row_pct,placeholder_only_count,unique_3gram_retention_pct,unique_5gram_retention_pct,direct_pii_gold_total,direct_pii_residual_count,direct_pii_residual_rate,direct_pii_removed_recall,quasi_identifier_gold_total,quasi_identifier_residual_count,quasi_identifier_residual_rate,detected_direct_identifier_residual_count,detected_quasi_identifier_residual_count,detected_source_marker_residual_count,target_cue_preservation,harm_cue_preservation,negation_cue_preservation,quotation_cue_preservation,counterspeech_cue_preservation,target_harm_pair_preservation,stance_harm_relation_preservation,rationale_overlap,row_count
raw,0.6496,0.645277,0.740452,0.636303,0.684438,0.0,100.0,100.0,31.576,29.0,0.0,0,100.0,100.0,5009,5009,1.0,0.0,5002,5002,1.0,5009,7526,2458,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000
pii_mask,0.65,0.647064,0.750202,0.620563,0.679252,0.0356,100.0,100.0,31.077,28.0,83.14,0,89.285,86.186,5009,0,0.0,1.0,5002,5002,1.0,0,7526,2458,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000
pii_quasi_mask,0.6518,0.645796,0.733583,0.654722,0.691913,0.0846,100.0,100.0,30.288,27.0,100.0,0,77.179,73.373,5009,0,0.0,1.0,5002,0,0.0,0,0,0,1.0,1.0,1.0,0.601972,1.0,1.0,0.776445,1.0,5000
importance_only,0.6292,0.603628,0.672351,0.739451,0.704306,0.2672,11.684,11.296,9.424,9.0,100.0,0,0.66,0.02,5009,0,0.0,1.0,5002,0,0.0,0,0,0,0.544554,0.779653,0.152698,0.025634,0.065217,0.196386,0.045256,0.178183,5000
importance_window,0.6484,0.63619,0.709556,0.696249,0.70284,0.1496,48.79,46.816,15.009,13.0,100.0,0,38.876,29.472,5009,0,0.0,1.0,5002,0,0.0,0,0,0,0.771865,0.900044,0.572905,0.280282,0.543478,0.562651,0.337514,0.520884,5000
icem_context,0.6448,0.636171,0.717313,0.668788,0.692201,0.1236,55.831,53.068,17.006,15.0,100.0,0,45.996,37.935,5009,0,0.0,1.0,5002,0,0.0,0,0,0,0.953383,0.953354,0.881745,0.483099,0.855072,0.893976,0.625409,0.602733,5000
