group_type,group,variant,row_count,positive_f1,prediction_flip_rate_raw,retained_token_pct,retained_char_pct,target_cue_preservation,harm_cue_preservation,negation_cue_preservation,quotation_cue_preservation,counterspeech_cue_preservation,target_harm_pair_preservation,stance_harm_relation_preservation,rationale_overlap
dataset,hatexplain,raw,5000,0.684438,0.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dataset,hatexplain,pii_mask,5000,0.679252,0.0356,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dataset,hatexplain,pii_quasi_mask,5000,0.691913,0.0846,100.0,100.0,1.0,1.0,1.0,0.601972,1.0,1.0,0.776445,1.0
dataset,hatexplain,importance_only,5000,0.704306,0.2672,11.684,11.296,0.544554,0.779653,0.152698,0.025634,0.065217,0.196386,0.045256,0.178183
dataset,hatexplain,importance_window,5000,0.70284,0.1496,48.79,46.816,0.771865,0.900044,0.572905,0.280282,0.543478,0.562651,0.337514,0.520884
dataset,hatexplain,icem_context,5000,0.692201,0.1236,55.831,53.068,0.953383,0.953354,0.881745,0.483099,0.855072,0.893976,0.625409,0.602733
