group_type,group,variant,row_count,positive_f1,prediction_flip_rate_raw,retained_token_pct,retained_char_pct,target_cue_preservation,harm_cue_preservation,negation_cue_preservation,quotation_cue_preservation,counterspeech_cue_preservation,target_harm_pair_preservation,stance_harm_relation_preservation,rationale_overlap
dataset,hatexplain,raw,5000,0.676375,0.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dataset,hatexplain,pii_mask,5000,0.674478,0.0364,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dataset,hatexplain,pii_quasi_mask,5000,0.691088,0.0816,100.0,100.0,1.0,1.0,1.0,0.598204,1.0,1.0,0.76877,1.0
dataset,hatexplain,importance_only,5000,0.704936,0.2542,11.827,11.416,0.548008,0.785524,0.147936,0.030864,0.085271,0.169287,0.037541,0.169467
dataset,hatexplain,importance_window,5000,0.705379,0.1678,39.947,37.513,0.722013,0.874334,0.459862,0.206229,0.372093,0.448609,0.235582,0.411918
dataset,hatexplain,icem_context,5000,0.701454,0.129,49.844,46.515,0.945493,0.95071,0.879587,0.472783,0.844961,0.882709,0.626768,0.543775
