variant,accuracy,macro_f1,positive_precision,positive_recall,positive_f1,prediction_flip_rate_raw,retained_token_pct,retained_char_pct,mean_output_tokens,median_output_tokens,changed_row_pct,placeholder_only_count,unique_3gram_retention_pct,unique_5gram_retention_pct,direct_pii_gold_total,direct_pii_residual_count,direct_pii_residual_rate,direct_pii_removed_recall,quasi_identifier_gold_total,quasi_identifier_residual_count,quasi_identifier_residual_rate,detected_direct_identifier_residual_count,detected_quasi_identifier_residual_count,detected_source_marker_residual_count,target_cue_preservation,harm_cue_preservation,negation_cue_preservation,quotation_cue_preservation,counterspeech_cue_preservation,target_harm_pair_preservation,stance_harm_relation_preservation,rationale_overlap,row_count
raw,0.64,0.635394,0.732477,0.628257,0.676375,0.0,100.0,100.0,31.472,29.0,0.0,0,100.0,100.0,5005,5005,1.0,0.0,5003,5003,1.0,5005,7540,2457,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000
pii_mask,0.6444,0.641338,0.746353,0.61523,0.674478,0.0364,100.0,100.0,30.974,28.0,83.12,0,89.158,86.0,5005,0,0.0,1.0,5003,5003,1.0,0,7540,2457,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000
pii_quasi_mask,0.6492,0.642629,0.730999,0.655311,0.691088,0.0816,100.0,100.0,30.185,27.0,100.0,0,77.112,73.368,5005,0,0.0,1.0,5003,0,0.0,0,0,0,1.0,1.0,1.0,0.598204,1.0,1.0,0.76877,1.0,5000
importance_only,0.633,0.609808,0.67969,0.732131,0.704936,0.2542,11.827,11.416,9.495,9.0,100.0,0,0.757,0.015,5005,0,0.0,1.0,5003,0,0.0,0,0,0,0.548008,0.785524,0.147936,0.030864,0.085271,0.169287,0.037541,0.169467,5000
importance_window,0.6418,0.624304,0.694976,0.716099,0.705379,0.1678,39.947,37.513,12.922,12.0,100.0,0,29.199,18.252,5005,0,0.0,1.0,5003,0,0.0,0,0,0,0.722013,0.874334,0.459862,0.206229,0.372093,0.448609,0.235582,0.411918,5000
icem_context,0.651,0.640739,0.719046,0.684703,0.701454,0.129,49.844,46.515,15.54,14.0,100.0,0,40.175,31.415,5005,0,0.0,1.0,5003,0,0.0,0,0,0,0.945493,0.95071,0.879587,0.472783,0.844961,0.882709,0.626768,0.543775,5000
