variant,accuracy,macro_f1,positive_precision,positive_recall,positive_f1,prediction_flip_rate_raw,retained_token_pct,retained_char_pct,mean_output_tokens,median_output_tokens,changed_row_pct,placeholder_only_count,unique_3gram_retention_pct,unique_5gram_retention_pct,direct_pii_gold_total,direct_pii_residual_count,direct_pii_residual_rate,direct_pii_removed_recall,quasi_identifier_gold_total,quasi_identifier_residual_count,quasi_identifier_residual_rate,detected_direct_identifier_residual_count,detected_quasi_identifier_residual_count,detected_source_marker_residual_count,target_cue_preservation,harm_cue_preservation,negation_cue_preservation,quotation_cue_preservation,counterspeech_cue_preservation,target_harm_pair_preservation,stance_harm_relation_preservation,rationale_overlap,row_count
raw,0.6496,0.645277,0.740452,0.636303,0.684438,0.0,100.0,100.0,31.576,29.0,0.0,0,100.0,100.0,5009,5009,1.0,0.0,5002,5002,1.0,5009,7526,2458,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000
pii_mask,0.65,0.647064,0.750202,0.620563,0.679252,0.0356,100.0,100.0,31.077,28.0,83.14,0,89.285,86.186,5009,0,0.0,1.0,5002,5002,1.0,0,7526,2458,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000
pii_quasi_mask,0.6518,0.645796,0.733583,0.654722,0.691913,0.0846,100.0,100.0,30.288,27.0,100.0,0,77.179,73.373,5009,0,0.0,1.0,5002,0,0.0,0,0,0,1.0,1.0,1.0,0.601972,1.0,1.0,0.776445,1.0,5000
importance_only,0.6356,0.609787,0.676364,0.747488,0.71015,0.272,8.965,8.904,6.12,9.0,100.0,0,0.224,0.0,5009,0,0.0,1.0,5002,0,0.0,0,0,0,0.490924,0.753887,0.078645,0.01493,0.043478,0.140964,0.020174,0.153052,5000
importance_window,0.6498,0.630419,0.695473,0.735767,0.715053,0.193,33.415,31.226,10.448,10.0,100.0,0,23.151,12.21,5009,0,0.0,1.0,5002,0,0.0,0,0,0,0.675743,0.845402,0.381745,0.15831,0.326087,0.403614,0.194656,0.358656,5000
icem_context,0.6472,0.63571,0.710544,0.690556,0.700408,0.142,44.152,40.888,13.515,13.0,100.0,0,34.612,25.426,5009,0,0.0,1.0,5002,0,0.0,0,0,0,0.938531,0.929809,0.860505,0.458592,0.818841,0.872289,0.599237,0.500091,5000
