variant,accuracy,macro_f1,positive_precision,positive_recall,positive_f1,prediction_flip_rate_raw,retained_token_pct,retained_char_pct,mean_output_tokens,median_output_tokens,changed_row_pct,placeholder_only_count,unique_3gram_retention_pct,unique_5gram_retention_pct,direct_pii_gold_total,direct_pii_residual_count,direct_pii_residual_rate,direct_pii_removed_recall,quasi_identifier_gold_total,quasi_identifier_residual_count,quasi_identifier_residual_rate,detected_direct_identifier_residual_count,detected_quasi_identifier_residual_count,detected_source_marker_residual_count,target_cue_preservation,harm_cue_preservation,negation_cue_preservation,quotation_cue_preservation,counterspeech_cue_preservation,target_harm_pair_preservation,stance_harm_relation_preservation,rationale_overlap,row_count
raw,0.6462,0.641118,0.732669,0.641086,0.683825,0.0,100.0,100.0,31.328,29.0,0.0,0,100.0,99.98,5011,5011,1.0,0.0,5001,5001,1.0,5011,7533,2455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000
pii_mask,0.6474,0.644079,0.744298,0.623324,0.678461,0.0352,100.0,100.0,30.83,28.0,83.16,0,89.086,85.831,5011,0,0.0,1.0,5001,5001,1.0,0,7533,2455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000
pii_quasi_mask,0.6438,0.637307,0.724022,0.651475,0.685835,0.0744,100.0,100.0,30.042,27.0,100.0,0,76.75,72.825,5011,0,0.0,1.0,5001,1,0.0002,0,0,0,1.0,1.0,1.0,0.591906,1.0,1.0,0.767974,1.0,5000
importance_only,0.6246,0.598579,0.668288,0.736595,0.700781,0.2544,11.729,11.35,9.376,9.0,100.0,0,0.728,0.014,5011,0,0.0,1.0,5001,0,0.0,0,0,0,0.547382,0.786225,0.144425,0.026419,0.094891,0.187423,0.038671,0.163721,5000
importance_window,0.6472,0.627131,0.692065,0.736595,0.713636,0.1814,39.647,37.063,12.789,12.0,100.0,0,28.884,17.855,5011,0,0.0,1.0,5001,0,0.0,0,0,0,0.730258,0.874329,0.443096,0.21023,0.372263,0.445129,0.244553,0.400519,5000
icem_context,0.6424,0.630969,0.706492,0.685657,0.695918,0.1362,49.936,46.447,15.495,14.0,100.0,0,40.265,31.45,5011,0,0.0,1.0,5001,1,0.0002,0,0,0,0.95054,0.944544,0.87695,0.464306,0.773723,0.895191,0.617102,0.537372,5000
