group_type,group,variant,row_count,positive_f1,prediction_flip_rate_raw,retained_token_pct,retained_char_pct,target_cue_preservation,harm_cue_preservation,negation_cue_preservation,quotation_cue_preservation,counterspeech_cue_preservation,target_harm_pair_preservation,stance_harm_relation_preservation,rationale_overlap
dataset,hatexplain,raw,5000,0.684438,0.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dataset,hatexplain,pii_mask,5000,0.679252,0.0356,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dataset,hatexplain,pii_quasi_mask,5000,0.691913,0.0846,100.0,100.0,1.0,1.0,1.0,0.601972,1.0,1.0,0.776445,1.0
dataset,hatexplain,importance_only,5000,0.70272,0.2598,14.349,13.62,0.588284,0.798756,0.247417,0.036338,0.086957,0.26506,0.076336,0.200972
dataset,hatexplain,importance_window,5000,0.713865,0.174,44.714,42.105,0.755776,0.890715,0.538462,0.233803,0.471014,0.533735,0.285714,0.455825
dataset,hatexplain,icem_context,5000,0.698733,0.1284,53.952,50.391,0.956271,0.9498,0.897819,0.493803,0.862319,0.89759,0.635769,0.575091
