variant,accuracy,macro_f1,positive_precision,positive_recall,positive_f1,prediction_flip_rate_raw,retained_token_pct,retained_char_pct,mean_output_tokens,median_output_tokens,changed_row_pct,placeholder_only_count,unique_3gram_retention_pct,unique_5gram_retention_pct,direct_pii_gold_total,direct_pii_residual_count,direct_pii_residual_rate,direct_pii_removed_recall,quasi_identifier_gold_total,quasi_identifier_residual_count,quasi_identifier_residual_rate,detected_direct_identifier_residual_count,detected_quasi_identifier_residual_count,detected_source_marker_residual_count,target_cue_preservation,harm_cue_preservation,negation_cue_preservation,quotation_cue_preservation,counterspeech_cue_preservation,target_harm_pair_preservation,stance_harm_relation_preservation,rationale_overlap,row_count
raw,0.6496,0.645277,0.740452,0.636303,0.684438,0.0,100.0,100.0,31.576,29.0,0.0,0,100.0,100.0,5009,5009,1.0,0.0,5002,5002,1.0,5009,7526,2458,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000
pii_mask,0.65,0.647064,0.750202,0.620563,0.679252,0.0356,100.0,100.0,31.077,28.0,83.14,0,89.285,86.186,5009,0,0.0,1.0,5002,5002,1.0,0,7526,2458,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000
pii_quasi_mask,0.6518,0.645796,0.733583,0.654722,0.691913,0.0846,100.0,100.0,30.288,27.0,100.0,0,77.179,73.373,5009,0,0.0,1.0,5002,0,0.0,0,0,0,1.0,1.0,1.0,0.601972,1.0,1.0,0.776445,1.0,5000
importance_only,0.6306,0.607499,0.67648,0.731078,0.70272,0.2598,14.349,13.62,13.571,9.0,100.0,0,1.305,0.117,5009,0,0.0,1.0,5002,0,0.0,0,0,0,0.588284,0.798756,0.247417,0.036338,0.086957,0.26506,0.076336,0.200972,5000
importance_window,0.65,0.631649,0.697444,0.731078,0.713865,0.174,44.714,42.105,15.001,12.0,100.0,0,34.313,23.908,5009,0,0.0,1.0,5002,0,0.0,0,0,0,0.755776,0.890715,0.538462,0.233803,0.471014,0.533735,0.285714,0.455825,5000
icem_context,0.648,0.637726,0.714636,0.683523,0.698733,0.1284,53.952,50.391,17.207,14.0,100.0,0,44.689,36.545,5009,0,0.0,1.0,5002,0,0.0,0,0,0,0.956271,0.9498,0.897819,0.493803,0.862319,0.89759,0.635769,0.575091,5000
