variant,accuracy,macro_f1,positive_precision,positive_recall,positive_f1,prediction_flip_rate_raw,retained_token_pct,retained_char_pct,mean_output_tokens,median_output_tokens,changed_row_pct,placeholder_only_count,unique_3gram_retention_pct,unique_5gram_retention_pct,direct_pii_gold_total,direct_pii_residual_count,direct_pii_residual_rate,direct_pii_removed_recall,quasi_identifier_gold_total,quasi_identifier_residual_count,quasi_identifier_residual_rate,detected_direct_identifier_residual_count,detected_quasi_identifier_residual_count,detected_source_marker_residual_count,target_cue_preservation,harm_cue_preservation,negation_cue_preservation,quotation_cue_preservation,counterspeech_cue_preservation,target_harm_pair_preservation,stance_harm_relation_preservation,rationale_overlap,row_count
raw,0.5008,0.453569,0.543638,0.200465,0.292918,0.0,100.0,100.0,43.223,29.0,0.0,0,98.52,95.08,0,0,0.0,0.0,0,0,0.0,56,101,31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000
pii_mask,0.5006,0.45342,0.543067,0.200465,0.292835,0.0002,100.0,100.0,43.223,29.0,47.3,0,98.438,94.988,0,0,0.0,0.0,0,0,0.0,0,101,31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000
pii_quasi_mask,0.5006,0.45342,0.543067,0.200465,0.292835,0.0006,100.0,100.0,43.221,29.0,47.96,0,98.246,94.712,0,0,0.0,0.0,0,0,0.0,1,0,0,1.0,1.0,1.0,0.99032,1.0,1.0,1.0,1.0,5000
importance_only,0.53,0.512088,0.578264,0.328034,0.418605,0.2448,13.252,15.321,9.993,9.0,99.8,0,0.521,0.008,0,0,0.0,0.0,0,0,0.0,0,0,0,0.263672,0.292005,0.128959,0.023083,0.078125,0.047619,0.016207,0.657108,5000
importance_window,0.5002,0.468835,0.533167,0.249321,0.339762,0.0978,54.307,55.022,17.065,15.0,89.86,0,46.935,34.8,0,0,0.0,0.0,0,0,0.0,2,0,0,0.544922,0.549247,0.51991,0.539092,0.367188,0.267399,0.301459,0.810519,5000
icem_context,0.497,0.463979,0.527119,0.241179,0.330939,0.0914,57.753,58.338,18.526,16.0,87.72,0,51.418,40.738,0,0,0.0,0.0,0,0,0.0,2,0,0,0.855469,0.735805,0.78009,0.775875,0.601562,0.710623,0.669368,0.822035,5000
