variant,accuracy,macro_f1,positive_precision,positive_recall,positive_f1,prediction_flip_rate_raw,retained_token_pct,retained_char_pct,mean_output_tokens,median_output_tokens,changed_row_pct,placeholder_only_count,unique_3gram_retention_pct,unique_5gram_retention_pct,direct_pii_gold_total,direct_pii_residual_count,direct_pii_residual_rate,direct_pii_removed_recall,quasi_identifier_gold_total,quasi_identifier_residual_count,quasi_identifier_residual_rate,detected_direct_identifier_residual_count,detected_quasi_identifier_residual_count,detected_source_marker_residual_count,target_cue_preservation,harm_cue_preservation,negation_cue_preservation,quotation_cue_preservation,counterspeech_cue_preservation,target_harm_pair_preservation,stance_harm_relation_preservation,rationale_overlap,row_count
raw,0.367489,0.342413,0.734554,0.125244,0.214,0.0,100.0,100.0,16.948,17.0,0.0,0,100.0,99.839,3769,3769,1.0,0.0,3720,3720,1.0,3769,5534,1814,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,3728
pii_mask,0.367221,0.341193,0.740566,0.122513,0.210244,0.028702,100.0,100.0,16.445,16.0,98.498,0,81.371,74.445,3769,0,0.0,1.0,3720,3720,1.0,0,5534,1814,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,3728
pii_quasi_mask,0.38412,0.365538,0.753321,0.154897,0.256958,0.054185,100.0,100.0,15.665,15.0,100.0,0,61.675,52.848,3769,0,0.0,1.0,3720,0,0.0,0,0,0,1.0,1.0,1.0,0.559419,1.0,1.0,0.701149,,3728
importance_only,0.349249,0.339099,0.59744,0.16387,0.257195,0.128755,19.431,18.199,9.857,9.0,100.0,0,1.733,0.057,3769,0,0.0,1.0,3720,0,0.0,0,0,0,0.729947,0.85119,0.333771,0.112342,0.181818,0.353591,0.076628,,3728
importance_window,0.387876,0.376571,0.711916,0.184159,0.292622,0.0853,57.694,52.537,10.278,10.0,100.0,0,41.89,28.271,3769,0,0.0,1.0,3720,0,0.0,0,0,0,0.887215,0.952381,0.720105,0.338938,0.818182,0.762431,0.37931,,3728
icem_context,0.373927,0.355522,0.714019,0.149044,0.246611,0.056867,66.55,60.647,11.262,11.0,100.0,0,52.425,41.792,3769,0,0.0,1.0,3720,0,0.0,0,0,0,0.997198,0.994048,0.986859,0.546427,1.0,0.994475,0.681992,,3728
