variant,accuracy,macro_f1,positive_precision,positive_recall,positive_f1,prediction_flip_rate_raw,retained_token_pct,retained_char_pct,mean_output_tokens,median_output_tokens,changed_row_pct,placeholder_only_count,unique_3gram_retention_pct,unique_5gram_retention_pct,direct_pii_gold_total,direct_pii_residual_count,direct_pii_residual_rate,direct_pii_removed_recall,quasi_identifier_gold_total,quasi_identifier_residual_count,quasi_identifier_residual_rate,detected_direct_identifier_residual_count,detected_quasi_identifier_residual_count,detected_source_marker_residual_count,target_cue_preservation,harm_cue_preservation,negation_cue_preservation,quotation_cue_preservation,counterspeech_cue_preservation,target_harm_pair_preservation,stance_harm_relation_preservation,rationale_overlap,row_count
raw,0.6326,0.629952,0.735741,0.600469,0.661258,0.0,100.0,100.0,31.576,29.0,0.0,0,100.0,100.0,5009,5009,1.0,0.0,5002,5002,1.0,5009,7526,2458,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000
pii_mask,0.6372,0.634076,0.736672,0.610851,0.667887,0.0154,100.0,100.0,31.077,28.0,83.14,0,89.285,86.186,5009,0,0.0,1.0,5002,5002,1.0,0,7526,2458,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000
pii_quasi_mask,0.6364,0.633377,0.736629,0.608841,0.666667,0.0278,100.0,100.0,30.288,27.0,100.0,0,77.179,73.373,5009,0,0.0,1.0,5002,0,0.0,0,0,0,1.0,1.0,1.0,0.601972,1.0,1.0,0.776445,1.0,5000
importance_only,0.6356,0.598923,0.66506,0.785332,0.720209,0.2334,14.053,13.255,12.01,17.0,100.0,0,1.648,0.083,5009,0,0.0,1.0,5002,0,0.0,0,0,0,0.661716,0.704131,0.118255,0.053521,0.072464,0.296386,0.06325,0.188904,5000
importance_window,0.6546,0.631769,0.693157,0.75653,0.723459,0.166,41.438,39.436,13.392,13.0,100.0,0,32.376,21.31,5009,0,0.0,1.0,5002,0,0.0,0,0,0,0.806106,0.844069,0.465557,0.207887,0.434783,0.563855,0.283533,0.433365,5000
icem_context,0.6536,0.636316,0.701997,0.729739,0.715599,0.1346,50.86,47.767,15.789,15.0,100.0,0,42.545,33.801,5009,0,0.0,1.0,5002,0,0.0,0,0,0,0.970297,0.928032,0.880023,0.464225,0.847826,0.915663,0.63904,0.553922,5000
