variant,accuracy,macro_f1,positive_precision,positive_recall,positive_f1,prediction_flip_rate_raw,retained_token_pct,retained_char_pct,mean_output_tokens,median_output_tokens,changed_row_pct,placeholder_only_count,unique_3gram_retention_pct,unique_5gram_retention_pct,direct_pii_gold_total,direct_pii_residual_count,direct_pii_residual_rate,direct_pii_removed_recall,quasi_identifier_gold_total,quasi_identifier_residual_count,quasi_identifier_residual_rate,detected_direct_identifier_residual_count,detected_quasi_identifier_residual_count,detected_source_marker_residual_count,target_cue_preservation,harm_cue_preservation,negation_cue_preservation,quotation_cue_preservation,counterspeech_cue_preservation,target_harm_pair_preservation,stance_harm_relation_preservation,rationale_overlap,row_count
raw,0.902,0.536547,0.25,0.083333,0.125,0.0,100.0,100.0,67.767,49.0,0.0,0,100.0,99.0,1025,1025,1.0,0.0,978,978,1.0,1052,1502,502,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1000
pii_mask,0.905,0.530982,0.26087,0.071429,0.11215,0.011,100.0,100.0,67.254,49.0,94.9,0,91.392,88.8,1025,0,0.0,1.0,978,978,1.0,0,1502,502,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1000
pii_quasi_mask,0.9,0.549704,0.264706,0.107143,0.152542,0.022,100.0,100.0,66.489,47.0,100.0,0,82.477,79.965,1025,0,0.0,1.0,978,0,0.0,2,0,0,1.0,1.0,1.0,0.728192,1.0,1.0,0.967949,,1000
importance_only,0.861,0.5508,0.176471,0.178571,0.177515,0.077,10.982,10.918,14.167,17.0,100.0,1,0.854,0.021,1025,0,0.0,1.0,978,0,0.0,2,0,0,0.192513,0.164634,0.211573,0.144121,0.1,0.06,0.032051,,1000
importance_window,0.883,0.553638,0.210526,0.142857,0.170213,0.051,37.608,35.856,20.911,22.0,100.0,1,25.419,15.295,1025,0,0.0,1.0,978,0,0.0,0,0,0,0.438503,0.359756,0.466546,0.419722,0.388889,0.32,0.179487,,1000
icem_context,0.882,0.534524,0.173077,0.107143,0.132353,0.048,43.186,40.915,23.855,24.0,100.0,1,32.084,23.554,1025,0,0.0,1.0,978,0,0.0,0,0,0,0.860963,0.640244,0.80651,0.596713,0.611111,0.76,0.576923,,1000
