group_type,group,variant,row_count,positive_f1,prediction_flip_rate_raw,retained_token_pct,retained_char_pct,target_cue_preservation,harm_cue_preservation,negation_cue_preservation,quotation_cue_preservation,counterspeech_cue_preservation,target_harm_pair_preservation,stance_harm_relation_preservation,rationale_overlap
dataset,civil_comments,raw,1000,0.125,0.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
dataset,civil_comments,pii_mask,1000,0.11215,0.011,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
dataset,civil_comments,pii_quasi_mask,1000,0.152542,0.022,100.0,100.0,1.0,1.0,1.0,0.728192,1.0,1.0,0.967949,
dataset,civil_comments,importance_only,1000,0.177515,0.077,10.982,10.918,0.192513,0.164634,0.211573,0.144121,0.1,0.06,0.032051,
dataset,civil_comments,importance_window,1000,0.170213,0.051,37.608,35.856,0.438503,0.359756,0.466546,0.419722,0.388889,0.32,0.179487,
dataset,civil_comments,icem_context,1000,0.132353,0.048,43.186,40.915,0.860963,0.640244,0.80651,0.596713,0.611111,0.76,0.576923,
