variant,accuracy,macro_f1,positive_precision,positive_recall,positive_f1,prediction_flip_rate_raw,retained_token_pct,retained_char_pct,mean_output_tokens,median_output_tokens,changed_row_pct,placeholder_only_count,unique_3gram_retention_pct,unique_5gram_retention_pct,direct_pii_gold_total,direct_pii_residual_count,direct_pii_residual_rate,direct_pii_removed_recall,quasi_identifier_gold_total,quasi_identifier_residual_count,quasi_identifier_residual_rate,detected_direct_identifier_residual_count,detected_quasi_identifier_residual_count,detected_source_marker_residual_count,target_cue_preservation,harm_cue_preservation,negation_cue_preservation,quotation_cue_preservation,counterspeech_cue_preservation,target_harm_pair_preservation,stance_harm_relation_preservation,rationale_overlap,row_count
raw,0.6466,0.625644,0.69238,0.737475,0.714216,0.0,100.0,100.0,24.68,22.0,0.0,0,99.98,97.16,0,0,0.0,0.0,0,0,0.0,0,99,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000
pii_mask,0.6466,0.625644,0.69238,0.737475,0.714216,0.0,100.0,100.0,24.68,22.0,0.0,0,99.98,97.16,0,0,0.0,0.0,0,0,0.0,0,99,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000
pii_quasi_mask,0.6462,0.625145,0.691946,0.737475,0.713985,0.0008,100.0,100.0,24.679,22.0,1.7,0,99.745,96.765,0,0,0.0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,0.984076,1.0,1.0,0.994819,1.0,5000
importance_only,0.6264,0.600721,0.671961,0.734803,0.701978,0.211,14.301,15.101,8.24,5.0,100.0,0,0.379,0.012,0,0,0.0,0.0,0,0,0.0,0,0,0,0.519916,0.78508,0.135894,0.028662,0.062016,0.166868,0.06943,0.371561,5000
importance_window,0.647,0.618663,0.682398,0.767869,0.722615,0.1188,49.563,49.841,11.894,10.0,95.62,0,38.538,23.173,0,0,0.0,0.0,0,0,0.0,0,0,0,0.704822,0.879663,0.451835,0.487261,0.341085,0.455865,0.368912,0.684653,5000
icem_context,0.6536,0.6261,0.687686,0.772211,0.727502,0.103,57.391,57.816,13.45,12.0,89.8,0,50.06,37.984,0,0,0.0,0.0,0,0,0.0,0,0,0,0.929979,0.940053,0.875573,0.886943,0.837209,0.859734,0.82487,0.753896,5000
