group_type,group,variant,row_count,positive_f1,prediction_flip_rate_raw,retained_token_pct,retained_char_pct,target_cue_preservation,harm_cue_preservation,negation_cue_preservation,quotation_cue_preservation,counterspeech_cue_preservation,target_harm_pair_preservation,stance_harm_relation_preservation,rationale_overlap
dataset,hatexplain,raw,5000,0.714216,0.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dataset,hatexplain,pii_mask,5000,0.714216,0.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dataset,hatexplain,pii_quasi_mask,5000,0.713985,0.0008,100.0,100.0,1.0,1.0,1.0,0.984076,1.0,1.0,0.994819,1.0
dataset,hatexplain,importance_only,5000,0.701978,0.211,14.301,15.101,0.519916,0.78508,0.135894,0.028662,0.062016,0.166868,0.06943,0.371561
dataset,hatexplain,importance_window,5000,0.722615,0.1188,49.563,49.841,0.704822,0.879663,0.451835,0.487261,0.341085,0.455865,0.368912,0.684653
dataset,hatexplain,icem_context,5000,0.727502,0.103,57.391,57.816,0.929979,0.940053,0.875573,0.886943,0.837209,0.859734,0.82487,0.753896
