variant,row_count,direct_pii_gold_total,direct_pii_residual_count,direct_pii_residual_rate,direct_pii_removed_recall,quasi_identifier_gold_total,quasi_identifier_residual_count,quasi_identifier_residual_rate,detected_direct_identifier_residual_count,detected_quasi_identifier_residual_count,detected_source_marker_residual_count
raw,5000,5009,5009,1.0,0.0,5005,5005,1.0,5009,7535,2464
pii_mask,5000,5009,0,0.0,1.0,5005,5005,1.0,0,7535,2464
pii_quasi_mask,5000,5009,0,0.0,1.0,5005,2,0.0004,0,0,0
importance_only,5000,5009,0,0.0,1.0,5005,0,0.0,0,0,0
importance_window,5000,5009,0,0.0,1.0,5005,0,0.0,0,0,0
icem_context,5000,5009,0,0.0,1.0,5005,1,0.0002,0,0,0
