variant,accuracy,macro_f1,positive_precision,positive_recall,positive_f1,prediction_flip_rate_raw,retained_token_pct,retained_char_pct,mean_output_tokens,median_output_tokens,changed_row_pct,placeholder_only_count,unique_3gram_retention_pct,unique_5gram_retention_pct,direct_pii_gold_total,direct_pii_residual_count,direct_pii_residual_rate,direct_pii_removed_recall,quasi_identifier_gold_total,quasi_identifier_residual_count,quasi_identifier_residual_rate,detected_direct_identifier_residual_count,detected_quasi_identifier_residual_count,detected_source_marker_residual_count,target_cue_preservation,harm_cue_preservation,negation_cue_preservation,quotation_cue_preservation,counterspeech_cue_preservation,target_harm_pair_preservation,stance_harm_relation_preservation,rationale_overlap,row_count
raw,0.6576,0.653972,0.744222,0.642109,0.689405,0.0,100.0,100.0,31.365,28.0,0.0,0,100.0,100.0,5009,5009,1.0,0.0,5005,5005,1.0,5009,7535,2464,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000
pii_mask,0.657,0.654911,0.755967,0.620818,0.681759,0.0366,100.0,100.0,30.866,28.0,83.16,0,89.179,86.014,5009,0,0.0,1.0,5005,5005,1.0,0,7535,2464,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000
pii_quasi_mask,0.662,0.656995,0.739887,0.661372,0.69843,0.0848,100.0,100.0,30.077,27.0,100.0,0,76.953,73.087,5009,0,0.0,1.0,5005,2,0.0004,0,0,0,1.0,1.0,1.0,0.587887,1.0,1.0,0.754171,1.0,5000
importance_only,0.6354,0.614165,0.676727,0.735046,0.704682,0.2558,11.819,11.401,9.506,9.0,100.0,0,0.756,0.019,5009,0,0.0,1.0,5005,0,0.0,0,0,0,0.552122,0.788934,0.13231,0.027887,0.109375,0.188494,0.040044,0.168777,5000
importance_window,0.6534,0.636733,0.696979,0.733018,0.714545,0.1702,39.932,37.421,12.953,12.0,100.0,0,29.199,18.055,5009,0,0.0,1.0,5005,0,0.0,0,0,0,0.737948,0.879072,0.445954,0.205915,0.398438,0.489596,0.25139,0.409271,5000
icem_context,0.6496,0.640204,0.711829,0.685367,0.698347,0.1296,49.974,46.566,15.528,14.0,100.0,0,40.456,31.566,5009,0,0.0,1.0,5005,1,0.0002,0,0,0,0.953028,0.948684,0.87596,0.463099,0.851562,0.895961,0.603448,0.536869,5000
