variant,accuracy,macro_f1,positive_precision,positive_recall,positive_f1,prediction_flip_rate_raw,retained_token_pct,retained_char_pct,mean_output_tokens,median_output_tokens,changed_row_pct,placeholder_only_count,unique_3gram_retention_pct,unique_5gram_retention_pct,direct_pii_gold_total,direct_pii_residual_count,direct_pii_residual_rate,direct_pii_removed_recall,quasi_identifier_gold_total,quasi_identifier_residual_count,quasi_identifier_residual_rate,detected_direct_identifier_residual_count,detected_quasi_identifier_residual_count,detected_source_marker_residual_count,target_cue_preservation,harm_cue_preservation,negation_cue_preservation,quotation_cue_preservation,counterspeech_cue_preservation,target_harm_pair_preservation,stance_harm_relation_preservation,rationale_overlap,row_count
raw,0.649,0.629359,0.688596,0.742819,0.714681,0.0,100.0,100.0,24.569,22.0,0.0,0,99.98,97.0,0,0,0.0,0.0,0,0,0.0,0,90,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000
pii_mask,0.649,0.629359,0.688596,0.742819,0.714681,0.0,100.0,100.0,24.569,22.0,0.0,0,99.98,97.0,0,0,0.0,0.0,0,0,0.0,0,90,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000
pii_quasi_mask,0.6486,0.628864,0.688165,0.742819,0.714448,0.0012,100.0,100.0,24.569,22.0,1.58,0,99.786,96.676,0,0,0.0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,0.979275,1.0,1.0,0.997831,1.0,5000
importance_only,0.6276,0.601917,0.66566,0.744846,0.70303,0.2234,14.327,15.089,8.248,5.0,100.0,0,0.36,0.013,0,0,0.0,0.0,0,0,0.0,0,0,0,0.538937,0.773315,0.137035,0.018998,0.085938,0.165239,0.073753,0.368179,5000
importance_window,0.645,0.616682,0.674118,0.774586,0.720868,0.12,49.635,50.0,11.873,10.0,96.06,0,38.661,23.12,0,0,0.0,0.0,0,0,0.0,0,0,0,0.717759,0.866131,0.46013,0.488774,0.320312,0.463892,0.374187,0.68946,5000
icem_context,0.6506,0.623432,0.679078,0.776614,0.724578,0.102,57.406,57.973,13.372,12.0,89.4,0,50.128,38.055,0,0,0.0,0.0,0,0,0.0,0,0,0,0.94108,0.932619,0.873006,0.872193,0.820312,0.866585,0.816703,0.755874,5000
