group_type,group,variant,row_count,positive_f1,prediction_flip_rate_raw,retained_token_pct,retained_char_pct,target_cue_preservation,harm_cue_preservation,negation_cue_preservation,quotation_cue_preservation,counterspeech_cue_preservation,target_harm_pair_preservation,stance_harm_relation_preservation,rationale_overlap
dataset,hatexplain,raw,5000,0.718927,0.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dataset,hatexplain,pii_mask,5000,0.718927,0.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dataset,hatexplain,pii_quasi_mask,5000,0.718694,0.0008,100.0,100.0,1.0,1.0,1.0,0.982229,1.0,1.0,0.995846,1.0
dataset,hatexplain,importance_only,5000,0.705305,0.2236,14.339,15.086,0.533828,0.775211,0.140643,0.027464,0.072464,0.181928,0.074766,0.370294
dataset,hatexplain,importance_window,5000,0.730616,0.1626,35.495,35.416,0.64604,0.823634,0.297933,0.342488,0.253623,0.346988,0.229491,0.544501
dataset,hatexplain,icem_context,5000,0.733508,0.13,47.588,47.713,0.938119,0.908041,0.876005,0.87399,0.862319,0.861446,0.799585,0.660371
