variant,accuracy,macro_f1,positive_precision,positive_recall,positive_f1,prediction_flip_rate_raw,retained_token_pct,retained_char_pct,mean_output_tokens,median_output_tokens,changed_row_pct,placeholder_only_count,unique_3gram_retention_pct,unique_5gram_retention_pct,direct_pii_gold_total,direct_pii_residual_count,direct_pii_residual_rate,direct_pii_removed_recall,quasi_identifier_gold_total,quasi_identifier_residual_count,quasi_identifier_residual_rate,detected_direct_identifier_residual_count,detected_quasi_identifier_residual_count,detected_source_marker_residual_count,target_cue_preservation,harm_cue_preservation,negation_cue_preservation,quotation_cue_preservation,counterspeech_cue_preservation,target_harm_pair_preservation,stance_harm_relation_preservation,rationale_overlap,row_count
raw,0.5008,0.453569,0.543638,0.200465,0.292918,0.0,100.0,100.0,43.223,29.0,0.0,0,98.52,95.08,0,0,0.0,0.0,0,0,0.0,56,101,31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000
pii_mask,0.5006,0.45342,0.543067,0.200465,0.292835,0.0002,100.0,100.0,43.223,29.0,47.3,0,98.438,94.988,0,0,0.0,0.0,0,0,0.0,0,101,31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000
pii_quasi_mask,0.5006,0.45342,0.543067,0.200465,0.292835,0.0006,100.0,100.0,43.221,29.0,47.96,0,98.246,94.712,0,0,0.0,0.0,0,0,0.0,1,0,0,1.0,1.0,1.0,0.99032,1.0,1.0,1.0,1.0,5000
importance_only,0.53,0.512088,0.578264,0.328034,0.418605,0.2448,13.252,15.321,9.993,9.0,99.8,0,0.521,0.008,0,0,0.0,0.0,0,0,0.0,0,0,0,0.263672,0.292005,0.128959,0.023083,0.078125,0.047619,0.016207,0.657108,5000
importance_window,0.5012,0.47178,0.534247,0.257076,0.34712,0.1168,45.479,46.29,14.812,13.0,95.82,0,34.734,20.308,0,0,0.0,0.0,0,0,0.0,3,0,0,0.472656,0.498262,0.425339,0.469099,0.3125,0.190476,0.225284,0.776249,5000
icem_context,0.4996,0.468798,0.531635,0.250872,0.340885,0.1064,50.677,51.36,16.58,15.0,93.12,0,42.385,30.56,0,0,0.0,0.0,0,0,0.0,3,0,0,0.855469,0.707995,0.778733,0.774386,0.601562,0.70696,0.641815,0.792094,5000
