variant,accuracy,macro_f1,positive_precision,positive_recall,positive_f1,prediction_flip_rate_raw,retained_token_pct,retained_char_pct,mean_output_tokens,median_output_tokens,changed_row_pct,placeholder_only_count,unique_3gram_retention_pct,unique_5gram_retention_pct,direct_pii_gold_total,direct_pii_residual_count,direct_pii_residual_rate,direct_pii_removed_recall,quasi_identifier_gold_total,quasi_identifier_residual_count,quasi_identifier_residual_rate,detected_direct_identifier_residual_count,detected_quasi_identifier_residual_count,detected_source_marker_residual_count,target_cue_preservation,harm_cue_preservation,negation_cue_preservation,quotation_cue_preservation,counterspeech_cue_preservation,target_harm_pair_preservation,stance_harm_relation_preservation,rationale_overlap,row_count
raw,0.6496,0.645277,0.740452,0.636303,0.684438,0.0,100.0,100.0,31.576,29.0,0.0,0,100.0,100.0,5009,5009,1.0,0.0,5002,5002,1.0,5009,7526,2458,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000
pii_mask,0.65,0.647064,0.750202,0.620563,0.679252,0.0356,100.0,100.0,31.077,28.0,83.14,0,89.285,86.186,5009,0,0.0,1.0,5002,5002,1.0,0,7526,2458,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000
pii_quasi_mask,0.6518,0.645796,0.733583,0.654722,0.691913,0.0846,100.0,100.0,30.288,27.0,100.0,0,77.179,73.373,5009,0,0.0,1.0,5002,0,0.0,0,0,0,1.0,1.0,1.0,0.601972,1.0,1.0,0.776445,1.0,5000
importance_only,0.6284,0.604629,0.674074,0.731413,0.701574,0.2628,13.206,12.622,11.599,9.0,100.0,0,1.024,0.065,5009,0,0.0,1.0,5002,0,0.0,0,0,0,0.568894,0.790315,0.202641,0.031268,0.07971,0.23012,0.059978,0.191644,5000
importance_window,0.6494,0.63126,0.697406,0.729404,0.713046,0.1766,42.704,40.157,14.125,12.0,100.0,0,32.171,21.525,5009,0,0.0,1.0,5002,0,0.0,0,0,0,0.743399,0.882719,0.504592,0.221408,0.434783,0.508434,0.263904,0.439952,5000
icem_context,0.6458,0.635638,0.713233,0.680509,0.696487,0.1314,52.259,48.729,16.517,14.0,100.0,0,42.829,34.396,5009,0,0.0,1.0,5002,0,0.0,0,0,0,0.95462,0.946246,0.892078,0.490986,0.855072,0.895181,0.628135,0.562997,5000
